"Front";"Back";"Tags";"Difficulty";"Source"
"State Satz 1.7.2: 1.7. Der Körper der komplexen Zahlen.";"Die Abbildung \varphi : R \to C, \varphi (x) = (x, 0) hat die Eigenschaften \varphi (x + y) = \varphi (x) + \varphi (y), \varphi (x y) = \varphi (x)\varphi (y), \varphi (1) = (1, 0), d.h. \varphi ist ein Körper-Homomorphismus. Die komplexen Zahlen {(x, 0) : x \in R} bilden einen Körper mit der induzierten Addition und Multi- plikation (1.12). Wir sagen, dass {(x, 0) : x \in R} ein Unterkörper von C ist. Der Homomorphismus \varphi : R \to {(x, 0) : x \in R} ist bijektiv , d.h. ein Körper-Isomorphismus. Wir identifizieren deshalb R mit {(x, 0) : x \in R} und sagen, dass R ein Unterkörper von C ist. Wir schreiben für ( x, 0) kurz x, also 0 für (0 , 0), 1 für (1 , 0), usw . Wir setzen i := (0, 1) Dann gilt i2 = (0, 1) ·(0, 1) = (02 − 12, 0 ·1 + 1 ·0) = (− 1, 0) = (− 1) ·(1, 0) = − 1 . Für z = (x, y) schreiben wir nun z = (x, 0) + (0, y) = (x, 0) + (0, 1) ·(y, 0) = x + i y.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-1-7 ch-1";"3";"PDF p26; section 1.7. Der Körper der komplexen Zahlen"
"Define imaginäre Einheit (Def 1.7.3).";"Die (nicht-reelle) Zahl i = (0, 1) heißt imaginäre Einheit . Sei z = (x, y) = y + i y. Dann heißt x Realteil von z, und y heißt Imaginärteil von z, geschrieben Re z := x, Im z := y. Man beachte, dass der Imaginärteil y reell ist. Zahlen der Form i y mit y \in R heißen auch (rein) imaginär. Die konjugierte Zahl zu z = x + i y ist z := x − i y. Die konjugiert komplexe Zahl z wird oft als z quer bezeichnet.\n\nIntuition: This definition gives precise language for the topic of complex numbers as a field, real/imaginary parts, conjugation, modulus, and modulus rules.";"definition sec-1-7 ch-1";"1";"PDF p26; section 1.7. Der Körper der komplexen Zahlen"
"State Satz 1.7.4: Rechenregeln.";"Für alle z, w \in C gilt: (i) z + w = z + w, z ·w = z ·w. (ii) z + z = 2 Rez, z − z = 2i Im z. (iii) z = z \Longleftrightarrow z \in R, z = − z \Longleftrightarrow z \in iR. (iv) z ·z = x2 + y2 \ge 0 für z = x + i y. (v) ( z ) = z.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-1-7 ch-1 rechenregeln";"3";"PDF p26; section 1.7. Der Körper der komplexen Zahlen"
"Define | z| (Def 1.7.5).";"Für z \in C heißt | z| := \sqrt z ·z = √ x2 + y2 der Betrag von z. Für z \in R ist | z| = \sqrt z2 der übliche Betrag von reellen Zahlen. Die geometrische Bed eutung von Re- alteil, Imaginärteil, Betrag und konjugiert komplexer Zah l wird in der Abbildung 2 skizziert. Nach Pythagoras ist | z| der Abstand des Punktes z vom Nullpunkt, siehe Abbildung 2. ANALYSIS I-III, 2011/2013 25 /0/0/0/0/0/0/0/0/0/0 /0/0/0/0/0/0/0/0/0/0 /0/0/0/0/0/0/0/0/0/0 /0/0/0/0/0/0/0/0/0/0 /0/0/0/0/0/0/0/0/0/0 /0/0/0/0/0/0/0/0/0/0 /0/0/0/0/0/0/0/0/0/0 /0/0/0/0/0/0/0/0/0/0 /0/0/0/0/0/0/0/0/0/0 /0/0/0/0/0/0/0/0/0/0 /0/0/0/0/0/0/0/0/0/0 /0/0/0/0/0/0/0/0/0/0 /1/1/1/1/1/1/1/1/1/1 /1/1/1/1/1/1/1/1/1/1 /1/1/1/1/1/1/1/1/1/1 /1/1/1/1/1/1/1/1/1/1 /1/1/1/1/1/1/1/1/1/1 /1/1/1/1/1/1/1/1/1/1 /1/1/1/1/1/1/1/1/1/1 /1/1/1/1/1/1/1/1/1/1 /1/1/1/1/1/1/1/1/1/1 /1/1/1/1/1/1/1/1/1/1 /1/1/1/1/1/1/1/1/1/1 /1/1/1/1/1/1/1/1/1/1 /0/0/0/0/0/0/0/0/0/0 /0/0/0/0/0/0/0/0/0/0 /0/0/0/0/0/0/0/0/0/0 /1/1/1/1/1/1/1/1/1/1 /1/1/1/1/1/1/1/1/1/1 /1/1/1/1/1/1/1/1/1/1 /0/0/0/0 /0/0/0/0 /0/0/0/0 /0/0/0/0 /0/0/0/0 /0/0/0/0 /0/0/0/0 /1/1/1/1 /1/1/1/1 /1/1/1/1 /1/1/1/1 /1/1/1/1 /1/1/1/1 /1/1/1/1 /0/0/0 /0/0/0 /0/0/0 /0/0/0 /0/0/0 /1/1/1 /1/1/1 /1/1/1 /1/1…\n\nIntuition: This definition gives precise language for the topic of complex numbers as a field, real/imaginary parts, conjugation, modulus, and modulus rules.";"definition sec-1-7 ch-1";"1";"PDF p26; section 1.7. Der Körper der komplexen Zahlen"
"State Satz 1.7.6: Rechenregeln für den Betrag.";"Für alle z, w \in C gilt: (i) | z| \ge 0; | z| = 0 \Longleftrightarrow z = 0. (ii) Ist z ̸= 0, so gilt z− 1 = z/| z| 2. (iii) | z| = | z| . (iv) | Re z| \le | z| , | Im z| \le | z| . (v) | z ·w| = | z| · |w| . (vi) | z + w| \le | z| + | w| (Dreiecksungleichung). Die Gleichheit gilt genau dann, wenn z = 0 (bzw. w = 0) oder w/z \in R+ (bzw. z/w \in R+ ). (vii) ⏐ ⏐| z| − | w| ⏐ ⏐ \le | z − w| (umgekehrte Dreiecksungleichung).\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-1-7 ch-1 rechenregeln für den";"3";"PDF p27; section 1.7. Der Körper der komplexen Zahlen"
"State Satz 1.9.2: 1.9. Notizen.";"[Dirichletsches Schubfachprinzip] Falls man n Objekte auf m Mengen (n, m \in N) verteilt, und n größer als m ist, dann gibt es mindestens eine Menge, in der mehr als ein Ob jekt landet. Aufgaben. Beispiele für die Anwendung des Schubfachprinzips: 1. Auf jeder Party gibt es mindestens zwei Leute, die gleich vie len anderen Leuten die Hand geschüttelt haben. 2. In jeder Gruppe von 6 Menschen gibt es entweder 3, die alle mit einander befreundet sind oder 3, die alle nicht miteinander befreundet sind. (Die Freundschaftsbez iehung ist symmetrisch: Wenn A mit B befreundet ist, dann auch B mit A.) 3 (Erdössche Einstiegsfrage zur Mathematik) . Sei X \subset {1,2, . . . ,2n} eine Teilmenge mit n + 1 Elementen. Dann gibt es immer zwei Zahlen in X so, dass eine die andere teilt. (Tipp: Schreibe jede Nummer x \in X in der Form x = 2km, wobei m eine ungerade Zahl zwischen 1 und 2 n − 1 sei.) 4 (Satz von Erdös und Szekeres) . Sei F = (a1, . . . ,an) eine Folge von n verschiedenen reellen Zahlen. Wenn n \ge sr + 1, dann besitzt F entweder eine steigende Teilfolge aus s + 1 Zahlen oder eine fallende Teilfolge aus r + 1 Zahlen (oder beides). (Tipp: Ordne jeder Zahl ai aus der Folge F ein Paar ( xi…\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-1-9 ch-1";"3";"PDF p32; section 1.9. Notizen"
"Define einfach Permutation von n Ele- menten (Def 1.9.3).";"Seien n, k \in N. Sei X eine n-elementige Menge. ◦ Eine k-Permutation ohne Wiederholung von n Elementen ist eine Auswahl von k verschiede- nen Elementen von X , bei der es auf die Reihenfolge ankommt. ◦ Eine n-Permutation ohne Wiederholung von n Elementen heißt einfach Permutation von n Ele- menten. ◦ Eine k-Kombination ohne Wiederholung von n Elementen ist eine Auswahl von k verschiede- nen Elementen von X , bei der es auf die Reihenfolge nicht ankommt. ◦ Eine k-Permutation mit Wiederholung von n Elementen ist eine Auswahl von k nicht unbe- dingt verschiedenen Elementen von X , bei der es auf die Reihenfolge ankommt. ◦ Eine k-Kombination mit Wiederholung von n Elementen ist eine Auswahl von k nicht unbe- dingt verschiedenen Elementen von X , bei der es auf die Reihenfolge nicht ankommt. Anstelle von k-Permutation ( k-Kombination) ohne Wiederholung sagt man einfach k-Permutation ( k- Kombination). ◦ Eine k-Permutation ist eine Familie ( x1, . . . ,xk) von verschiedenen Elementen von X , d.h. eine injektive Abbildung {1, . . . ,k} → X . Dabei muss k \le n sein. ◦ Eine Permutation ist eine bijektive Abbildung {1, . . . ,n} → X . ◦ Eine k-Kombination ist eine k-elementige Teilmenge {…\n\nIntuition: This definition gives precise language for the topic of notes on counting, pigeonhole principle, permutations/combinations, countability, and cardinality.";"definition sec-1-9 ch-1";"1";"PDF p32; section 1.9. Notizen"
"State Satz 1.9.4: 1.9. Notizen.";"◦ Die Anzahl von k-Permutationen von n Elementen ist n! (n − k)! · ◦ Die Anzahl von Permutationen von n Elementen ist n!. ◦ Die Anzahl von k-Kombinationen von n Elementen ist ( n k ) . ◦ Die Anzahl von k-Permutationen mit Wiederholung von n Elementen ist nk. Aufgaben. 8. Für zwei Mengen X , Y bezeichnet man mit B(X ,Y ) die Menge der bijektiven Abbildungen von X nach Y . Seien X , Y , Z drei gleichmächtige Mengen. Zeigen Sie, dass B(X ,Y ) und B(X , Z) gleichmächtig sind. (Tipp: Sei ψ : Y → Z bijektiv . Dann ist B(X ,Y ) → B(X , Z), \varphi \mapstoψ ◦ \varphi bijektiv .) Das zeigt, dass die Ausdrücke in Definition 1.9.3 wohldefinie rt sind, d.h. sie hängen von der Menge X nicht ab. 9. Die Anzahl von k-Kombinationen mit Wiederholung von n Elementen ist (n+ k− 1 k ) . Notiz zur Kardinalzahlen. Satz. (i) Jede Teilmenge einer abzählbaren Menge ist höchstens abzäh lbar . (ii) Jede unendliche Menge besitzt eine abzählbare Teilmenge. (iii) A, B sind abzählbar ⇒ A × B ist abzählbar . (iv) Ak ist (höchstens) abzählbar für jedes k \in N ⇒ \cup k\inN Ak ist (höchstens) abzählbar . (v) Seien A \subset B zwei Mengen, so dass A abzählbar ist und B \setminus A unendlich ist. Dann gilt B ∼ B \set…\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-1-9 ch-1";"3";"PDF p33; section 1.9. Notizen"
"Define Konvergenz einer Folge (Def 2.1.1).";"$a_n\to a$ means $\forall\varepsilon>0\ \exists n_0\in\mathbb N\ \forall n\ge n_0: |a_n-a|<\varepsilon$.\n\nIntuition: Eventually every tail of the sequence lies in every prescribed epsilon-neighborhood of the limit.";"definition sec-2-1 ch-2 high-yield";"2";"PDF p35; section 2.1. Definition und Beispiele"
"What pattern is shown in Beispiel 2.1.2?";"Sequences, convergence, neighborhoods, elementary limits, boundedness, monotonicity, and monotone convergence.\n\nSource: (i) Sei a \in R und ( an) mit an = a für alle n. Diese Folge konvergiert gegen a, denn für jedes \varepsilon > 0 und alle n \in N gilt | an − a| = 0 < \varepsilon. Man kann also n0 = 1 wählen. ANALYSIS I-III, 2011/2013 34 (ii) Sei an = 1 n , also ( an) = (1, 1 2 , 1 3 . . .). Dies ist eine Nullfolge. Denn zu beliebigem \varepsilon > 0 kann man n0 so wählen, dass n0 > 1 \varepsilon (archimedisches Prinzip). Optimal ist n0(\varepsilon) = ⌊ 1 \varepsilon⌋ + 1. Für n ≥ n0 gilt dann 0 < 1 n < 1 n0 <…";"beispiel sec-2-1 ch-2";"2";"PDF p35; section 2.1. Definition und Beispiele"
"State Lemma 2.1.3: 2.1. Definition und Beispiele.";"Sei (an) eine Folge in R und a \in R. Dann gilt: limn→\infty an = a \Longleftrightarrow \exists M > 0 \forall \varepsilon > 0 \exists n0 \in N \forall n \ge n0 : | an − a| < M ·\varepsilon, limn→\infty an = a \Longleftrightarrow \forall \varepsilon > 0 \exists n0 \in N \forall n \ge n0 : | an − a| ≤ \varepsilon.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"lemma sec-2-1 ch-2";"3";"PDF p37; section 2.1. Definition und Beispiele"
"Define \varepsilon-Umgebung von a (Def 2.1.4).";"Sei a \in R, \varepsilon > 0. Die Menge B\varepsilon(a) = {x \in R : | x − a| < \varepsilon} = (a − \varepsilon, a + \varepsilon) heißt \varepsilon-Umgebung von a. Jede Teilmenge U \subset R, zu der es ein \varepsilon> 0 mit B\varepsilon(a) \subset U gibt, heißt Umgebung von a. Umformulierung der Definition 2.1.1 der Konvergenz: limn→\infty an = a \Longleftrightarrow Zu jeder Umgebung U von a gibt es n0 \in N, so dass für alle n \ge n0 gilt: an \in U. Es ist zweckmäßig, die folgende Sprechweise zu benutzen: Wir sagen, dass fast alle Elemente einer Menge eine Eigenschaft haben, wenn höchstens endlich viele Eleme nte der Menge die betreffende Eigenschaft nicht haben. Neue Umformulierung der Definition 2.1.1 der Konverg enz: limn→\infty an = a \Longleftrightarrow Für jede Umgebung U von a gilt an \in U für fast alle n \in N. Durch Negation erhalten wir auch: (an)n\inN divergent \Longleftrightarrow Jedes a \in R hat eine Umgebung U, so dass an \notin U für unendlich viele n \in N. ANALYSIS I-III, 2011/2013 36 Beispiel: Die Folge 1 ,0,1,0, . . ., d.h. an = { 1, n ungerade 0, n gerade ist divergent. In der Tat, für jedes a \in R wähle U = B1/2(a) = (a − 1 2 , a + 1 2 ). Dann ist entwede…\n\nIntuition: This definition gives precise language for the topic of sequences, convergence, neighborhoods, elementary limits, boundedness, monotonicity, and monotone convergence.";"definition sec-2-1 ch-2";"1";"PDF p37; section 2.1. Definition und Beispiele"
"State Satz 2.1.5: 2.1. Definition und Beispiele.";"Es gilt limn→\infty 1 ns = 0 , für jedes s \in Q+ ,(2.1) limn→\infty n\sqrta = 1 , für jedes a > 0 ,(2.2) limn→\infty n\sqrt n = 1 ,(2.3) limn→\infty an = 0 , für jedes a \in R mit | a| < 1 ,(2.4) limn→\infty ns an = 0 , für jedes s \in Q und jedes a \in R mit | a| > 1 .(2.5)\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-2-1 ch-2";"3";"PDF p38; section 2.1. Definition und Beispiele"
"Define beschränkt (Def 2.1.6).";"(i) Eine Folge ( an)n\inN heißt beschränkt, wenn es M > 0 gibt, mit | an| \le M für alle n \in N. (ii) Eine reelle Folge ( an)n\inN heißt monoton wachsend (steigend) (bzw .fallend) wenn an \le an+ 1 (bzw . an \ge an+ 1) für alle n \in N gilt. Eine reelle Folge ( an)n\inN heißt streng monoton wachsend (steigend) (bzw .fallend) wenn an < an+ 1 (bzw .an > an+ 1) für alle n \in N gilt. Mit anderen Worten: Die Folge ( an) heißt beschränkt, wenn die Menge {an : n \in N} beschränkt ist. Analog definiert man die Begriffe nach oben und nach unten beschränkt . Wir geben nun ein wichtiges Kriterium, mit dem die Konvergen z einer Folge ohne Kenntnis ihres Grenz- wertes gezeigt werden kann. Es basiert sich am Ende auf dem Vo llständigkeitsaxiom.\n\nIntuition: This definition gives precise language for the topic of sequences, convergence, neighborhoods, elementary limits, boundedness, monotonicity, and monotone convergence.";"definition sec-2-1 ch-2";"1";"PDF p40; section 2.1. Definition und Beispiele"
"State Satz 2.1.7: Monotonieprinzip.";"A monotone increasing sequence that is bounded above converges to the supremum of its value set; analogously for decreasing sequences.\n\nUse: Used in Bolzano-Weierstrass, series tests, and many existence proofs.";"satz sec-2-1 ch-2 high-yield monotonieprinzip";"4";"PDF p40; section 2.1. Definition und Beispiele"
"State Satz 2.1.9: 2.1. Definition und Beispiele.";"Ist (an)n\inN konvergent so ist (an)n\inN beschränkt.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-2-1 ch-2";"3";"PDF p41; section 2.1. Definition und Beispiele"
"State Lemma 2.2.1: 2.2. Rechnen mit konvergenten Folgen.";"Seien (an), (bn) Folgen mit an → a, bn → b für n → \infty . Zu jedem \varepsilon > 0 existiert n0 \in N, so dass für alle n ≥ n0 gilt | an − a| < \varepsilon und | bn − b| < \varepsilon.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"lemma sec-2-2 ch-2";"3";"PDF p41; section 2.2. Rechnen mit konvergenten Folgen"
"State Satz 2.2.2: Konvergenz und algebraische Operationen.";"If $a_n\to a$ and $b_n\to b$, then sums, scalar multiples, products, and quotients with nonzero denominator converge to the corresponding algebraic limits.\n\nUse: The main toolkit for computing limits.";"satz sec-2-2 ch-2 high-yield konvergenz und algebraische";"4";"PDF p41; section 2.2. Rechnen mit konvergenten Folgen"
"State Satz 2.2.3: Vergleichsprinzip.";"Seien (an) und (bn) konvergente Folgen mit an \to a, bn \to b für n → \infty . Es gelte an \le bn für fast alle n \in N. Dann gilt a \le b. Bemerkung: Auch wenn an < bn ist, so folgt im Allgemeinen nur a \le b. Z.B. an = − 1 n , bn = 1 n und an \to 0, bn \to 0. Vorüberlegung: Da wir an ≤ bn wissen und a ≤ b zeigen wollen, sollten wir versuchen, a mittels an nach oben und b mittels bn nach unten abzuschätzen, also Ungleichungen der Form a ≤ an + \varepsilon , bn ≤ b + \varepsilon zu finden. Die Konvergenz liefert solche Abschätzungen!\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-2-2 ch-2 vergleichsprinzip";"3";"PDF p42; section 2.2. Rechnen mit konvergenten Folgen"
"State Folgerung 2.2.4: 2.2. Rechnen mit konvergenten Folgen.";"Sei (an) eine konvergente Folgen mit an \to a und an \in [b, c] für fast alle n \in N. Dann gilt a \in [b, c].\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"folgerung sec-2-2 ch-2";"3";"PDF p42; section 2.2. Rechnen mit konvergenten Folgen"
"State Satz 2.2.5: Einschließungsprinzip.";"If $a_n\le b_n\le c_n$ eventually and $a_n,c_n\to a$, then $b_n\to a$.\n\nUse: Useful for limits where direct algebra is awkward.";"satz sec-2-2 ch-2 high-yield einschließungsprinzip";"4";"PDF p43; section 2.2. Rechnen mit konvergenten Folgen"
"What pattern is shown in Beispiel 2.2.6?";"Algebra of convergent sequences, comparison principles, squeeze principle, and limit calculation strategies.\n\nSource: (1) Wir untersuchen die Konvergenz der Folge an = 2n + 3 n · Wir umformen zunächst an = 2n + 1 n = 2 + 3 n · Es ist also an = a′ n + a′′ n wobei a′ n = 2 und a′′ n = 3 n . Die Folgen ( a′ n) und ( a′′ n) sind konvergent mit limn→\infty a′ n = 2, limn→\infty a′′ n = 0. Aus Satz 2.2.2 (i) folgt, dass ( an) konvergent ist, und limn→\infty an = limn→\infty a′ n + limn→\infty a′′ n = 2 + 0 = 2. Wir können das auch direkt so schreiben, mit dem Verständnis , dass die Grenzwerte existieren: limn→\infty…";"beispiel sec-2-2 ch-2 strategien zur grenzwertberechnung";"2";"PDF p43; section 2.2. Rechnen mit konvergenten Folgen"
"Define endlich (Def 2.3.1).";"(i) Zwei Mengen X ,Y heißen gleichmächtig (geschrieben X ∼ Y ), wenn es eine bijektive Abbildung \varphi : X \to Y gibt. Die Relation X ∼ Y ist eine Äquivalenzrelation. (ii) Eine Menge X heißt endlich, falls X = \emptysetoder es ein n \in N gibt mit X ∼ {1, . . . ,n}. Die Kardinalzahl | X | (Anzahl der Elemente von X ) ist definiert durch | X | = 0 falls X = \emptysetund | X | = n falls X ∼ {1, . . . ,n}. ANALYSIS I-III, 2011/2013 43 (iii) Eine Menge heißt unendlich, wenn sie nicht endlich ist. (iv) Eine Menge X heißt abzählbar, falls X ∼ N und höchstens abzählbar , wenn sie endlich oder ab- zählbar ist. Ist X höchstens abzählbar , so heißt eine Bijektion f : {1, . . . ,n} → X oder f : N → X Aufzählung von X ; dann ist X = {x1, . . . ,xn, . . .}, xk = f (k). Ist X nicht höchstens abzählbar , so heißtX nicht abzählbar oder überabzählbar. 2.3.2. Beispiele. Die Funktion N0 → N, n \mapston + 1 ist bijektiv , also ist N0 abzählbar . Die Funktion f : Z → N, f (z) = 2z falls z \ge 0 und f (z) = − 2z − 1 falls z < 0 ist bijektiv . Daraus folgt, dass die Menge Z abzählbar ist; dies ist schon erstaunlich, weil es bedeutet, dass N und Z gleich viele Elemente haben, obwohl N eine echte Teilme…\n\nIntuition: This definition gives precise language for the topic of countable and uncountable sets, especially countability of rationals and uncountability of reals.";"definition sec-2-3 ch-2";"1";"PDF p44; section 2.3. Einschub: Abzählbare und überabzählbare Mengen"
